Guassian index number,Protein_number,Replicate,Protein name,Height,Center,Width,SSE,adjrsquare,Complex size,expt_name
178,122,9,P07172,31304837.5589,10.4087,-5.2037,1.50252140597357E+015,0.977,0,wt_wan_et_al_15
179,123,9,P07213,81300392.173,21.4092,1.8438,479561284440195,0.9121,0,wt_wan_et_al_15
180,124,9,P07244,224604921.7952,4.5685,1.5029,2.38114196702322E+015,0.9726,0,wt_wan_et_al_15
181,124,9,P07244,56444805.6652,10.2195,6.2552,2.38114196702322E+015,0.9726,0,wt_wan_et_al_15
182,125,9,P07245,2185628487.0745,18.8052,-1.8777,1.33314516655033E+016,0.9998,0,wt_wan_et_al_15
183,125,9,P07245,7369719593.6162,18.5138,0.5079,1.33314516655033E+016,0.9998,0,wt_wan_et_al_15
184,125,9,P07245,4636566717.8628,20.2917,0.4874,1.33314516655033E+016,0.9998,0,wt_wan_et_al_15
185,126,9,P07246,127342028.9201,3.8271,1.5004,688108446665529,0.977,0,wt_wan_et_al_15
186,127,9,P07251,251748548.8544,3.7659,-1.7639,5.39730187606531E+016,0.9808,0,wt_wan_et_al_15
187,127,9,P07251,232252713.2026,96.1779,8.5499,5.39730187606531E+016,0.9808,0,wt_wan_et_al_15
188,127,9,P07251,627584756.0965,100.1926,-3.0071,5.39730187606531E+016,0.9808,0,wt_wan_et_al_15
189,127,9,P07251,153450650.5424,12.0749,-4.0247,5.39730187606531E+016,0.9808,0,wt_wan_et_al_15
190,128,9,P07256,25906626120.649,22.8013,2.0545,1.04166844322751E+016,0.9388,0,wt_wan_et_al_15
191,129,9,P07257,639111493.7214,22.6592,1.5535,2.64019484098769E+016,0.9491,0,wt_wan_et_al_15
192,130,9,P07258,68032253.4521,8.6259,2.2962,394529089936523,0.9927,0,wt_wan_et_al_15
193,130,9,P07258,65037225.4108,9.6422,5.3569,394529089936523,0.9927,0,wt_wan_et_al_15
194,131,9,P07259,2325500233.5189,30.4985,1.773,1.36036151638195E+017,0.958,0,wt_wan_et_al_15
195,132,9,P07260,143024657.2616,16.3221,10.539,2.3136178250696E+016,0.9833,0,wt_wan_et_al_15
196,132,9,P07260,343793368.5333,29.3579,1.7359,2.3136178250696E+016,0.9833,0,wt_wan_et_al_15
197,132,9,P07260,431415916.0536,18.1408,3.0264,2.3136178250696E+016,0.9833,0,wt_wan_et_al_15
198,133,9,P07262,5689947049509.88,22.688,2.1533,4.51231533887775E+017,0.9447,0,wt_wan_et_al_15
199,134,9,P07263,991931643.9459,29.4275,0.4038,2.93404390759888E+016,0.981,0,wt_wan_et_al_15
200,134,9,P07263,2698355457.6325,25.6426,2.0245,2.93404390759888E+016,0.981,0,wt_wan_et_al_15
201,135,9,P07264,596289288.1379,5.4621,1.6376,1.16315818334769E+017,0.9948,0,wt_wan_et_al_15
202,135,9,P07264,559008047.4915,9.7606,4.5019,1.16315818334769E+017,0.9948,0,wt_wan_et_al_15
203,135,9,P07264,1274116107.0703,18.0665,9.2914,1.16315818334769E+017,0.9948,0,wt_wan_et_al_15
204,136,9,P07266,17870672.0371,37.6655,2.138,25259687767129.7,0.9719,0,wt_wan_et_al_15
205,137,9,P07267,375716065.7851,36.8268,7.0909,1.13390406882326E+017,0.8945,0,wt_wan_et_al_15
206,138,9,P07273,327951403.4833,26.9915,1.2275,3.89827714668789E+016,0.8176,0,wt_wan_et_al_15
207,139,9,P07275,728368912.0986,25.5141,1.2556,1.83697074445464E+017,0.8323,0,wt_wan_et_al_15
208,140,9,P07277,312824136.1665,23.7731,1.6736,1.08347484368248E+015,0.9964,0,wt_wan_et_al_15
209,140,9,P07277,92162392.5284,26.0827,2.6129,1.08347484368248E+015,0.9964,0,wt_wan_et_al_15
210,141,9,P07278,193209439.2235,4.7872,1.7669,2894750500915470,0.9496,0,wt_wan_et_al_15
211,141,9,P07278,30598010.2793,63.6613,8.9788,2894750500915470,0.9496,0,wt_wan_et_al_15
