Guassian index number,Protein_number,Replicate,Protein name,Height,Center,Width,SSE,adjrsquare,Complex size,expt_name
2410,1800,12,Q13547,17195332.3512,13.6283,4.7798,11352635972470.9,0.9931,0,kirkwood_rep3
2411,1801,12,Q13555,20119666.5109,13.8642,2.0323,886697237568.073,0.9985,0,kirkwood_rep3
2412,1802,12,Q13557,52437408.3086,14.4107,2.0022,6654605965442.06,0.9932,0,kirkwood_rep3
2413,1803,12,Q13561,369273065.9794,11.0229,1.9007,1.5356147978543E+015,0.9879,0,kirkwood_rep3
2414,1804,12,Q13564,87728444.0064,25.055,1.6689,293437412314733,0.9798,0,kirkwood_rep3
2415,1805,12,Q13573,15686722.3864,3.7593,2.3845,21574950833275.5,0.9877,0,kirkwood_rep3
2416,1805,12,Q13573,25865728.2821,20.9012,2.0678,21574950833275.5,0.9877,0,kirkwood_rep3
2417,1805,12,Q13573,5806231.4732,30.5166,-4.8284,21574950833275.5,0.9877,0,kirkwood_rep3
2418,1806,12,Q13596,14631157.0276,21.0956,1.4694,1037812518164.56,0.9868,0,kirkwood_rep3
2419,1806,12,Q13596,5021607.2965,19.5655,0.9705,1037812518164.56,0.9868,0,kirkwood_rep3
2420,1806,12,Q13596,11238419.8738,21.5418,3.6794,1037812518164.56,0.9868,0,kirkwood_rep3
2421,1807,12,Q13610,3728115.0741,4.7007,2.0215,288825381444.781,0.9921,0,kirkwood_rep3
2422,1808,12,Q13614,4434738.3298,23.0542,1.5974,831059616191.845,0.9774,0,kirkwood_rep3
2423,1809,12,Q13616,1202144.9282,18.2042,3.5957,928630408452.903,0.9919,0,kirkwood_rep3
2424,1809,12,Q13616,6408163.7942,21.2821,2.1048,928630408452.903,0.9919,0,kirkwood_rep3
2425,1810,12,Q13617,36811797.8689,19.7654,3.346,5666623583164.07,0.9859,0,kirkwood_rep3
2426,1811,12,Q13618,32327625.7254,21.7059,1.8478,55335093322958,0.9797,0,kirkwood_rep3
2427,1812,12,Q13619,20662945.8596,17.1642,4.9018,29437192934534.5,0.9963,0,kirkwood_rep3
2428,1812,12,Q13619,48019772.8159,16.9579,1.9283,29437192934534.5,0.9963,0,kirkwood_rep3
2429,1813,12,Q13620,14252816.5965,16.3644,3.1641,8249556564864.19,0.9939,0,kirkwood_rep3
2430,1813,12,Q13620,14893272.982,21.126,2.1767,8249556564864.19,0.9939,0,kirkwood_rep3
2431,1814,12,Q13630,62826233.4624,27.1369,2.18,109208424228843,0.9891,0,kirkwood_rep3
2432,1815,12,Q13636,3880938.0629,2.8336,2.247,371276358879.057,0.9898,0,kirkwood_rep3
2433,1816,12,Q13637,5602987.737,2.4545,1.824,538141183699.164,0.9741,0,kirkwood_rep3
2434,1816,12,Q13637,1507020.1294,28.0911,1.5708,538141183699.164,0.9741,0,kirkwood_rep3
2435,1817,12,Q13671,2295547.0154,21.4976,-1.9366,33481891674.7321,0.9958,0,kirkwood_rep3
2436,1818,12,Q13685,5965861.8206,26.034,1.8201,423473251247.773,0.9944,0,kirkwood_rep3
2437,1819,12,Q13724,37183491.0385,1.6101,1.7081,146375170772445,0.9443,0,kirkwood_rep3
2438,1821,12,Q13748,16850567.5474,2.2434,1.8343,59652587370048.7,0.9675,0,kirkwood_rep3
2439,1821,12,Q13748,4933257.551,32.5648,2.2649,59652587370048.7,0.9675,0,kirkwood_rep3
2440,1821,12,Q13748,22433528.3114,23.1592,1.7577,59652587370048.7,0.9675,0,kirkwood_rep3
2441,1821,12,Q13748,14765020.8143,11.6218,6.1592,59652587370048.7,0.9675,0,kirkwood_rep3
2442,1822,12,Q13765,148011818.3935,23.6737,1.6802,379449646415705,0.9649,0,kirkwood_rep3
2443,1823,12,Q13813,214363945.7533,4.7909,2.9994,722739176631014,0.9953,0,kirkwood_rep3
2444,1823,12,Q13813,43591005.0033,12.3969,3.5793,722739176631014,0.9953,0,kirkwood_rep3
2445,1824,12,Q13838,264719879.8396,26.9632,1.9767,692531879490948,0.974,0,kirkwood_rep3
2446,1825,12,Q13868,15178123.2421,4.6238,2.0119,3423164085266.02,0.9873,0,kirkwood_rep3
2447,1825,12,Q13868,7270479.2262,20.5833,2.3975,3423164085266.02,0.9873,0,kirkwood_rep3
2448,1826,12,Q13885,534800692.7678,25.2977,2.3869,8.93962948698339E+016,0.9032,0,kirkwood_rep3
2449,1827,12,Q13895,2786231.5118,9.8414,2.6259,1052237374408.15,0.9526,0,kirkwood_rep3
2450,1827,12,Q13895,1226977.2339,17.0266,4.3905,1052237374408.15,0.9526,0,kirkwood_rep3
2451,1828,12,Q13907,48279418.8015,31.4567,1.8956,27041274424347.2,0.9953,0,kirkwood_rep3
2452,1830,12,Q13951,24333342.3815,29.7942,2.2296,38989918312454.8,0.9764,0,kirkwood_rep3
2453,1831,12,Q14008,15909761.5292,4.453,2.3014,17938650310219,0.9834,0,kirkwood_rep3
2454,1831,12,Q14008,13219962.7595,20.9138,4.174,17938650310219,0.9834,0,kirkwood_rep3
2455,1831,12,Q14008,4831474.2132,34.6924,4.7485,17938650310219,0.9834,0,kirkwood_rep3
