uniprot_acc	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108
P00830	0	4309000	85951000	56844000	47816000	41356000	95680000	118990000	152710000	173560000	252430000	248620000	355220000	210390000	164860000	89364000	62296000	66394000	38990000	25431000	39372000	119760000	2781800000	1847000000	109190000	29675000	65712000	24040000	15604000	20805000	14449000	25991000	20346000	8636700	15032000	23788000	9164200	12940000	12076000	11453000	18492000	19674000	10263000	7998700	10321000	15978000	13119000	12425000	13351000	15015000	11486000	7193100	33029000	3252600	33759000	32800000	47992000	6874100	26454000	10817000	11722000	5758700	18716000	23392000	30654000	8237300	59992000	29896000	13617000	50817000	41913000	41839000	41905000	29723000	34374000	42834000	48973000	53943000	100290000	63895000	73895000	84019000	72976000	106890000	48370000	127990000	96051000	150800000	117980000	51917000	43382000	295000000	145150000	343480000	259300000	0	212470000	357480000	605180000	600980000	699360000	303590000	327650000	65937000	84480000	95080000	75717000	74519000
P00890	0	0	0	2040500	42030000	83083000	38284000	16504000	12275000	26100000	32601000	43992000	44119000	40903000	75377000	134850000	179010000	86364000	166320000	6380800000	1189400000	26034000	9263600	0	0	0	16606000	0	0	0	0	0	0	0	0	0	0	413640	472960	0	0	0	0	0	681140	0	0	0	0	0	0	0	0	0	3073200	0	0	4706500	0	0	0	0	0	0	1179400	0	0	0	0	0	0	0	1091500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00899	0	0	0	0	18141000	24880000	41571000	32059000	60407000	49376000	56404000	76813000	79104000	95261000	91953000	61403000	108380000	107800000	220960000	2961900000	1562400000	650500000	493060000	333340000	300850000	47516000	72543000	180230000	16696000	12305000	14338000	16964000	14091000	3630200	3841100	3333800	4942700	2748800	1922000	2228600	0	2140500	2054500	0	0	8951500	0	1828600	3491500	0	0	4067200	0	0	0	0	6428600	572650	8944200	6829700	0	2869500	4971800	3124400	6465400	3342900	1293800	7773000	3733300	5056600	1979100	798010	2420900	1478200	4366000	0	0	5094900	1397200	0	3675900	5472800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5109100	3890200	5445900	2048400	1154300
P00924	0	0	2849200000	188490000	33962000	1823600	1104400	1493400	694430	1191800	677630	819870	1056500	1081800	577370	719730	141240	0	0	0	11662000	363680	0	0	219640	0	430350	0	0	0	0	390690	714650	0	0	174480	565110	0	0	0	0	0	0	0	0	630980	0	0	0	0	1974400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1122500	1237800	1257400	0	672870	0
P00925	0	1042500	10090000000	12350000000	4373800000	1648000000	1328100000	878460000	882320000	570450000	459430000	330570000	258660000	213880000	201660000	211980000	173250000	192050000	96755000	106170000	130570000	50420000	38911000	51986000	18149000	14525000	551800	15070000	18831000	13465000	9026000	10548000	11019000	5464500	5053500	6918700	6267700	4280700	3784200	1076900	2294800	2826300	1377300	5761300	5167300	1239700	2218200	3184300	48726000	1683400	2165200	1391700	6987300	3226900	2417400	3803500	11501000	3671000	3309200	13464000	2862000	1574200	4660700	3974000	14756000	6433900	7077700	3525900	7255500	5957700	4215100	24099000	10057000	6392000	6101300	1767200	34818000	24882000	36308000	42595000	18715000	17878000	1900100	1266600	19880000	8895400	928200	1459200	1380700	0	600550	0	520370	1633400	1247700	0	0	0	0	0	1564300	13867000	612080000	293590000	644340000	318680000	31550000	73823000
P00927	0	0	9282100	43164000	12240000	0	0	0	0	0	0	0	7606200	0	0	0	0	0	0	0	0	0	0	9961600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7340200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00931	0	0	3051400	2833700000	4822500000	1941000000	378010000	349820000	236070000	250300000	138130000	115480000	134530000	139550000	84667000	98875000	33079000	53181000	38519000	26614000	11921000	7856200	4098700	0	0	0	0	0	827620	2950200	0	0	0	0	4407900	815090	0	2335600	532040	0	0	2476200	0	1690200	0	0	0	0	0	0	0	0	2457200	734580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	989780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	837750	0	0
P00937	0	0	0	46684000	154100000	80404000	70838000	64087000	55462000	55840000	54635000	36896000	53904000	33763000	35279000	31592000	18049000	14320000	12573000	15038000	69694000	91870000	257790000	102720000	228350000	175740000	212190000	72290000	17330000	9196800	10961000	11282000	13215000	0	15934000	11237000	32992000	12417000	3906200	10549000	0	0	28740000	0	0	20944000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76224000	31316000	0	0	33650000	0	39402000	0	0	47054000	15191000	0	0	26857000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13018000	10741000	8337900	18387000
P00942	0	0	3672800000	499170000	953550	1136200	186860	467760	238460	207140	516850	696850	574680	354630	294760	384800	175220	373900	0	0	0	210670	290860	1093300	267190	354660	0	0	592440	237610	243090	0	0	0	0	0	0	0	0	328310	0	0	0	0	0	0	1174800	0	0	0	0	0	1803800	572200	0	0	0	0	474330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35299000	24341000	6478200	1464900	0	0
P00950	0	0	70502	6232800000	385560000	1326700000	1072700000	6863700000	7979900000	1673800000	560260000	72316000	25831000	17550000	8037300	10056000	242560000	334700000	165380000	1617100	381290	642220	572610	0	453140	0	0	56808	220380	229850	231030	340880	210830	0	120880	125460	125620	0	0	113970	163410	535950	248950	0	0	761120	0	774340	10075000	0	404310	0	119610	245480	0	0	0	0	0	0	309630	0	0	0	0	0	0	0	0	1326400	250330	0	0	0	170820	508260	0	0	116090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16933000	16305000	20092000	9493600	3116000	3603900
