uniprot_acc	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108
O00193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1161300	0	0	446640	1709600	1166800	545060	3654000	14510000	396600	773480	3348000	773090	0	0	2432300	2319600	5651600	0	0	0	0	0	0	0	2343500	0	0	0	4235800	0	0	3940300	0	1770200	0	0	0	0	0	0	0	0	0	5932600	9421700	3075000	8985800	2330800	2789900	0	0	2683800	7902400	3103200	15976000	16067000	0	45757000	40718000	78350000	164750000	130120000	184110000	140820000	290540000	141390000	0	41213000	81914000	0	51398000	9550500	4679700	13155000	49109000	0	4748100	57059000	0	0	21266000	9964500	15302000	4568300	33869000	10330000	0	0	0	0	0	0
O00203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28709000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37603000	0	0	0	0	0	0	0	212190000	170110000	0	165880000	98706000	192730000	51490000	49769000	0	127790000	0	0	0	28005000	50653000	38475000	59295000	0	0	0	0	0	0	0	646390000
O00231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2169800	0	0	0	0	0	0	0	0	0	0	0	71309000	0	5116200	1880600	1764200	3860000	27203000	4549100	0	0	2519800	4310700	197090000	37483000	73842000	10517000	8721700	26597000	0	13419000	8029300	9446800	7303300	16410000	19857000	304370000	18346000	55313000	3044300	51187000	49234000	57747000	77419000	66928000	0	54782000	0	46731000	46472000	35198000	0	51986000	37019000	22416000	3643400	41029000	15877000	7206700	6865800	3686400	0	12959000	3535900	0	52923000	58158000	93030000	20916000	41070000	0	86131000	0	0	0	54353000	74830000	41461000	81753000	0	56757000	12242000	0	0	3462700	0	0
O00232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	737050	0	1322800	0	1450900	914450	1374600	983760	13387000	2942700	0	0	0	2666400	63281000	9228000	18848000	4394400	5651000	11038000	0	2104200	2655400	3250500	3591000	4556400	14438000	102780000	0	22171000	0	7475600	13540000	11987000	23869000	31661000	0	7041400	0	6276500	7256100	6892900	0	6419200	7712500	6493700	0	5692400	0	3273600	0	0	0	4693700	0	0	3958500	0	13175000	0	0	0	25969000	0	0	0	5818100	5322100	0	25233000	0	19090000	0	0	0	0	0	0
O00233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12958000	69380000	45359000	50777000	10075000	2661400	2608700	4582100	3439600	4055300	2083600	1449600	605300	2312200	1268500	1517700	150810	0	193240	4613100	2148100	23664000	74628000	10392000	22662000	18058000	9125700	1327800	10212000	4004900	2731600	0	1700100	992630	2377900	3343900	0	2322200	1773400	2008800	1009400	3181400	2324300	3457000	0	2146700	1489200	1938600	0	1456800	3457400	1322900	0	0	1765900	0	636140	0	0	2194700	0	0	790870	1992600	2153100	1457600	0	2035000	0	856850	0	0	0	0	0	0	0	0	0	0	0	0	0	3248200	3816300	1296800	0	0	5697700	3104000	7332900	1631300	0	6889200
O00244	0	0	0	0	0	164450	0	253760000	186040000	29698000	106070000	94389000	738080	4855400	271540	204230	191680	246250	180840	0	0	0	0	0	0	55108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1203400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328510	265140	0	267560	233180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3557400	0	0	0	0	0	0	0	0	0	0	0	6084600	0	5274200	6354600	5224600	0	5736700	34889000	0	0	6870100	0	0	4816700	5146800	4966600	0	0	0	0	0	0	0	5315800	4196900	5767300	3760900	0	0	0	0	0	0	0	0
O00267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	455360	0	0	0	458410	0	0	0	0	0	1212500	1443700	754870	0	903690	1208400	370120	0	1414100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5981700	341060000	29457000	22145000	5658800	26498000	5356000	5189000	5956000	2871700	0	2323700	0	2548800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	926140	0	0	0	0	0	0	0	0	0	0	1133300	15088000	0	173970000	84553000	30761000	33916000	0	8228600	7838000	6268300	9928600	8548700	9078700	4713100	0	5600000	2652000	4076900	3611700	3005800	2371200	2483700	0	2624900	0	0	1395200	3463900	0	1393600	0	0	0	0	0	3733800	0	2165400	0	0	3396600	0	0	0	1350800	4898400	0	0	1866900	0	0	0	4491000	4074700	0	0	0	3900500	3156000	0	0	0	0	0
O00299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	445370	0	0	0	56680	434500	0	0	514660	0	0	388020	0	0	0	0	0	0	0	0	0	190830	0	100500	520680	0	383350000	733260000	141230000	32766000	667120	601750	394760	637760	1195400	432040	99556	314080	103340	256090	208440	440370	385720	215740	0	370180	252710	432800	205770	131010	0	417550	0	440590	0	379540	0	247950	272760	187590	0	0	0	0	0	0	0	0	0	0	0	0	1716200	0	0	0	0	0	0	0	0	639530	3495100	498400	0	494310	0	0	0	0	0	0
O00303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	993670	717580	0	62236000	43956000	7848300	1644800	0	1536600	2481900	998540	2331800	2861300	0	0	0	0	0	2893600	5245700	4087400	4029400	3030200	0	3236900	0	2854500	3612700	5839800	0	3595000	5590400	6224900	0	17459000	26355000	4138700	0	7357400	0	61438000	8820300	0	70898000	71745000	96983000	58352000	14094000	0	61332000	0	0	0	14326000	57450000	7469600	56723000	0	3223300	0	0	0	0	0	0
