uniprot_acc	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
O00410	8913100	5194200	7788200	4956900	5964800	4545500	2284700	1712900	2194400	1398400	1657300	1264700	1276000	1219800	138460	1083200	668770	984970	5527400	11518000	13735000	25063000	45788000	115100000	306230000	260190000	76930000	10492000	1300700	946000	742740	455390	254610	2203200	3115200	0	5883300	2382300	0	0
O00422	0	2026500	4045100	6492700	4075900	1714800	0	0	0	1218500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2931000	0	1564000	0	0	0	0	0	0
O00429	237330	2517800	7036500	6663700	4797700	3625000	1320300	1313600	1079300	1771500	1014000	324560	1815900	1096400	667070	2262600	5286400	13049000	46783000	207400000	417330000	196160000	34157000	5841000	1717400	0	1771500	0	0	0	75086	0	0	0	0	0	0	0	0	75195
O00442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1955200	0	0	1953500	5333700	19266000	32711000	48381000	10603000	4583100	1774200	0	0	0	0	0
O00443	4665500	4724800	37178000	18561000	4445800	1023200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1747600	1180300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00461	5709100	9087400	3760400	1066000	0	0	0	0	0	0	0	0	0	1089100	0	1342400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00469	7104600	6010800	1548100	0	0	0	0	0	0	949970	0	600180	942890	1082300	0	533600	2216600	4854300	23864000	118420000	92029000	20566000	5913900	11187000	2366300	0	307540	0	0	0	0	0	0	0	0	0	0	0	0	0
O00471	0	0	0	0	0	0	0	793980	1182800	5391200	22471000	16073000	7292900	6453900	5233700	3339700	1322000	901260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00487	1328400	3053300	6521000	5795800	14780000	24058000	23701000	18694000	24631000	29102000	68908000	87317000	75812000	41668000	15298000	8088100	7965800	7731100	7478400	4322600	0	0	0	0	0	0	0	0	0	0	0	0	1813800	0	951430	0	0	0	0	1163800
O00499	0	0	0	0	0	0	0	0	1081200	342450	837880	1751200	3105600	5028600	11815000	19189000	22111000	43711000	37132000	18780000	4516900	2909200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00505	0	0	0	0	0	0	0	0	0	0	0	0	0	1964200	3554600	2319200	2227800	3766800	9778500	13307000	23655000	17067000	14658000	9392000	4672700	1498400	1219300	0	0	0	0	0	0	0	0	0	0	0	0	0
O00512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1893200	1434100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00541	2776900	3530100	1820900	4796700	4853000	2474900	3167900	0	2785600	0	0	2453600	2012000	0	0	0	0	0	2764400	3431200	17839000	18700000	9918800	3417700	0	3067100	0	0	0	0	0	0	0	1887300	0	0	0	0	0	0
O00560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1261900	6493800	9582200	5256600	1552400	1470300	0	0	0	0	0	0	0
O00566	0	0	2005900	3957600	4931500	1736100	1616000	1874200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00567	2556600	3079100	7073000	8101600	5833600	3477900	2425200	1957000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1825300	0	0	0	0	0
O00571	15489000	11534000	8312500	10728000	4934700	5638600	10912000	4187600	5710000	4123600	3228000	3544900	2352600	2346600	2236600	2637600	3749900	5306100	9526700	5293200	1516600	1105500	2079300	10951000	18722000	14706000	42251000	77127000	75124000	72275000	67378000	76877000	83444000	97663000	136110000	49054000	34798000	77569000	55672000	59105000
O00625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1827900	3170700	17219000	51336000	40798000	18299000	8270900	1307000	0	0	0	0	0
O00629	1583100	2072900	4627000	1564800	980420	1113400	1226900	1517700	2686500	3131400	4718100	6622200	7098100	7146100	6975600	7759800	13019000	18204000	14696000	23180000	19409000	51097000	63379000	35862000	17886000	6881500	5030300	1667600	0	0	1479600	1672500	1068100	2586300	0	0	0	0	0	0
O00743	0	0	0	0	0	0	0	0	647050	1514000	4046000	4219100	2953400	3833300	7591300	10131000	10199000	5523400	2465900	945850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1786600	3640800	10565000	3956100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3631600	11893000	30966000	33029000	26842000	6210000	0	0	0	0	0	0	0
O00764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1102000	2608200	3310700	8937700	94388000	275700000	174540000	67857000	23526000	9134300	1830800	496950	0	0	0	0	0	0
O00767	15030000	13414000	7291900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O14497	0	0	0	3419300	4313000	7284800	6288500	5399200	7434800	4917800	4557900	2525200	1830100	0	0	5000600	6422100	7117500	9861100	10404000	4062900	1949200	0	0	3550600	0	4284000	2227700	2523100	0	0	0	0	0	0	0	0	0	0	0
O14530	0	0	0	0	0	0	0	0	0	0	0	953090	3905300	15112000	86423000	60347000	14669000	1703900	401350	0	0	0	0	0	0	0	0	0	0	573500	189390	0	0	0	0	0	0	0	0	0
O14531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2694500	3247900	3380800	2017600	2272500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O14548	7237700	8993800	7209400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O14578	0	0	0	0	0	0	0	3881700	16821000	5095300	2838100	1270400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O14579	5001100	7891200	19422000	14781000	11081000	7448100	6318500	4816900	5761900	6664300	12125000	22191000	97195000	303710000	229780000	72038000	12039000	3579300	2651300	1124000	1137200	0	0	1032300	0	1192700	0	1968200	10351000	8662100	4852800	2311800	926650	2432900	2027400	7231300	0	0	0	0
O14602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35191000	50172000	22386000	16313000	12398000	17646000	18164000	39532000	39489000	0	0	0	0	0
O14617	386930	1046400	3033000	7284200	5142400	3174400	1945100	999390	1044600	377900	292700	4202500	8674700	12345000	28790000	67572000	70102000	23296000	5221700	1913300	1133800	661590	0	1363000	0	0	0	0	0	0	0	905990	1305400	0	1279900	0	0	0	0	0
O14618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5348000	25898000	29481000	15202000	3899800	0	0	0	0	0	0	0	0	0
O14639	3940200	1999600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2882400	6911600	17790000	14900000	9811900	17127000	14720000	12134000	4927800	3396200	3752200	3162000	2836600	3361100	3081900	1972400	3486200	0	0	0	7435900	4726100
O14662	2524900	5160500	9700500	1935600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O14672	4606500	3442600	3325300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O14682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2751300	2486000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O14737	0	0	0	0	0	0	386720	686730	979190	0	0	0	0	0	0	0	0	366800	0	0	0	0	0	407860	662290	0	4118400	19525000	56318000	152560000	60437000	76833000	12018000	19327000	9963700	0	0	0	0	0
O14744	84989	51040	0	0	0	0	373000	128460	205270	129130	188830	350710	2034300	6683200	20850000	126670000	370710000	318390000	51608000	1640900	758920	378550	0	75436	0	0	0	0	0	163730	0	0	0	0	0	0	0	0	0	0
O14745	5916600	3280200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2536300	2762900	5248600	9026300	24496000	30815000	19210000	16269000	5243200	3108700	3367300	3822000	3489000	2401700	2861500	0	6094500	0	0	5938500
O14757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2157700	2390300	1707100	0	0	0	0	0	0	0	0	0
O14773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2503900	1787700	0	0	0	0	0	0	0	0	0	0
O14776	0	0	0	0	14246000	17946000	0	5379600	4291800	0	1011700	0	4118700	6180000	17629000	57651000	44265000	21744000	5980400	4512700	1601900	2905700	4489400	0	0	0	0	0	0	0	1312200	0	0	0	0	0	9941600	5455000	4783900	0
O14777	0	383520	770240	1259100	0	1323200	810010	1759200	5163600	10226000	85949000	130470000	58315000	6533400	1087600	400440	126590	0	0	0	0	914190	904620	0	630340	0	0	0	0	0	0	0	0	0	0	0	0	999880	0	0
O14787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1778900	2262400	10096000	11965000	3259800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O14795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	810750	1161900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O14802	0	0	0	0	0	1080400	1355700	1375200	0	1587600	0	0	1582900	0	1454100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O14818	2162700	2069600	2342600	0	0	0	1446900	2588000	3311100	4637600	4021200	4779600	5584600	6334500	6684200	8035900	8045200	7801500	9513400	13815000	9553800	11956000	11600000	6193700	7043900	3351500	0	2643300	7372900	6035200	13605000	10771000	8615500	6062900	4888000	0	0	0	0	0
O14828	20982000	23145000	34751000	29697000	19063000	7696400	2505200	1163700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O14841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2215400	10897000	11901000	3207700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O14907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62473000	42706000	29048000	20090000	0	0	0	0	0
O14908	1039100	894440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2390000	2493700	0	0	0	0	766950	4036700	13270000	50516000	79512000	18000000	6942100	2603100	2033700	0	0	0	0	0	0
O14920	0	0	0	0	0	0	0	0	0	2814500	6342600	9854500	4581400	2054600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O14929	4944300	4025600	4268100	2063800	0	1341200	0	0	0	0	0	0	0	0	0	0	3542000	2643000	11532000	64461000	143260000	73940000	50889000	26571000	28029000	16433000	14731000	7360100	5132700	2066900	945280	873310	3357500	0	1570800	0	0	0	0	0
O14933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2555200	9051100	38141000	29648000	15394000	4308600	0	0	0	0	0
O14936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2281200	1891300	0	0	0	0	2581400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O14950	29680000	49553000	28483000	13182000	15663000	20136000	14989000	18774000	38801000	69183000	78292000	72853000	68125000	78750000	62662000	72925000	62189000	62516000	45189000	61596000	62568000	68482000	84110000	77015000	140080000	94356000	133710000	111400000	197440000	275520000	410570000	697850000	1492200000	1835000000	2518400000	1483000000	856070000	181270000	59926000	27800000
O14964	963150	1329500	696910	0	0	0	0	0	0	0	0	0	444450	2517700	5341600	44852000	72076000	13851000	3326400	1302900	271810	289020	0	0	0	278750	339650	858740	0	382390	0	0	0	0	0	0	0	0	0	0
O14972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2682400	10312000	6369400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O14974	0	0	0	0	0	1026600	777030	0	0	0	744360	1606600	3849300	9148900	14192000	22334000	20920000	16901000	9987100	16896000	13186000	11588000	2842800	4012900	2382900	3038800	1320000	0	0	0	1256700	0	0	0	0	0	0	0	0	0
O14976	0	0	291600	256120	271770	0	0	0	0	0	0	0	0	0	0	0	0	830070	1366000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O14979	6276500	7542500	10773000	25333000	39926000	59114000	55521000	64453000	59458000	44218000	40862000	37337000	35831000	31286000	26796000	26029000	28065000	20132000	16542000	13209000	12335000	27637000	19881000	17648000	17985000	13245000	24234000	24414000	63888000	101250000	67215000	99751000	71923000	59820000	57002000	76522000	62236000	46115000	33941000	59532000
O14980	6274900	4316400	10573000	8179600	6617400	4488900	1418600	1082600	1652200	1455800	990140	1512400	1208900	538500	2221700	3386700	137170	537830	1078300	3732500	7041500	12281000	30051000	76097000	203850000	227830000	77046000	11094000	700710	375210	341650	208490	2530100	595510	195620	0	0	0	0	261320
O14981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2692000	2967300	3819700	6514500	8693800	19213000	4961800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O15013	0	0	0	0	0	0	0	0	0	0	0	2933400	11024000	17591000	9945100	5704400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O15027	2392100	3413000	9253500	13903000	8716900	10746000	8812400	9591500	7930000	6089100	6607300	4692800	5082300	2129500	4440500	3901800	6011700	6017500	0	0	3401900	0	0	0	0	0	0	2272300	0	0	0	0	0	0	0	0	0	0	0	0
O15031	1691900	2614900	2156100	1138600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O15042	0	0	510660	1927800	2062100	2016200	829700	766120	853760	1255000	968610	1801500	3691200	13085000	17690000	12358000	9438700	6681200	2781800	0	0	0	0	0	0	0	1524900	0	0	2142100	4068000	3651600	3383100	3011000	0	0	0	0	0	0
O15066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1701200	6889500	22015000	5874200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O15067	1647100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1586600	3234400	5680300	16749000	127400000	140360000	56894000	11932000	5373200	722650	0	0	0	0	0	0	0	0	0	0
