uniprot_acc	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70
P04650	0	5935500	0	0	9981300	7272100	16712000	38422000	46216000	50087000	28862000	4992200	18210000	23719000	31521000	46684000	38424000	26542000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P04801	2655100	26768000	25122000	47627000	35844000	17337000	16181000	5726400	8977000	6301800	4339600	8345800	18691000	39945000	58717000	73513000	49468000	71165000	78918000	69774000	71775000	68817000	89096000	116170000	105720000	408120000	2013300000	2096600000	1316200000	286390000	117700000	119780000	2762100	1718000	0	15478000	7777900	0	0	0	0	937880	0	4356500	0	0	0	5186800	0	5253500	0	0	3464900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P04802	7363500	15565000	29541000	28898000	33553000	15743000	36219000	41904000	28215000	49395000	48111000	49432000	48120000	38722000	42003000	44962000	68594000	69213000	10823000	29523000	20593000	15102000	20291000	87342000	380430000	578160000	357190000	252850000	170700000	97097000	220260000	20429000	39366000	23229000	0	0	0	0	0	0	0	0	0	0	3119500	0	4965400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P04806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17111000	17851000	201730000	301700000	50124000	218680000	113880000	60604000	47983000	5177100	0	220280000	228180000	150870000	85286000	80290000	54224000	56854000	52704000	45687000	32576000	25263000	15554000	23032000	29762000	24803000	17602000	16590000	22601000	7534200	18172000	26138000
P04807	0	24120000	26657000	5543600	7194900	0	46806000	29568000	0	0	7917300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8501100	278640000	45388000	53900000	117270000	159740000	151810000	254550000	249420000	180120000	186130000	102060000	105600000	1332500000	467370000	627800000	618750000	296360000	197130000	211080000	110250000	97067000	98697000	85053000	86055000	86017000	59382000	83228000	61124000	61100000	59136000	38629000	69443000	15904000
P04840	43958000	87863000	145750000	372580000	106680000	156830000	25257000	5249000	12745000	0	0	0	10670000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59792000	0	42590000	26513000	0	0	0	11211000	0	0	6116800	13134000	0	0	0	0	4370000	0	8062900	0
P04911	40812000	417180000	218110000	202050000	47351000	23996000	337640000	75054000	97890000	41899000	42312000	21912000	74226000	184450000	148860000	22148000	164110000	31358000	25052000	117140000	44497000	0	41565000	85333000	0	24242000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38779000	0	0	35599000	46467000	0	0	41320000	67388000	51180000
P04912	40812000	417180000	218110000	202050000	47351000	23996000	337640000	75054000	97890000	41899000	42312000	21912000	74226000	184450000	148860000	22148000	164110000	31358000	25052000	117140000	44497000	0	41565000	85333000	0	24242000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38779000	0	0	35599000	46467000	0	0	41320000	67388000	51180000
P05030	664800000	3554800000	3550500000	3148100000	908780000	815620000	200550000	21720000	14489000	9750200	6902400	10682000	14149000	15726000	32044000	40513000	46356000	45741000	47948000	55696000	32783000	16794000	28440000	23776000	21881000	1974700	3797700	253640	1425700	1387100	0	748210	0	0	0	2520900	0	0	0	0	0	0	1953300	846700	0	1526800	0	0	0	0	1490600	16232000	16867000	23099000	28513000	16458000	18231000	19604000	29629000	21650000	26069000	25394000	23510000	41643000	12480000	13617000	9144000	14862000	15393000	20140000
P05317	57981000	707610000	393400000	241160000	472770000	206730000	1964700000	1517000000	1192400000	477310000	1058800000	818890000	1138900000	266880000	691290000	456590000	50733000	217310000	263770000	217330000	152870000	226120000	47148000	38280000	39779000	36305000	20371000	24092000	12068000	8321500	7528600	0	0	0	0	0	3841800	7215600	9337200	7841500	4295100	0	0	0	0	0	0	0	0	0	0	5082000	0	0	0	5915900	4966700	6192600	20699000	32387000	43506000	48941000	29739000	55627000	103250000	78765000	31316000	37979000	0	8662200
